Run,pressure(bar),temperature(?),[initiator] (mol/L),[ethylene] (mol/L),reaction time (s),[catalyst](mol/L),stirring rate(rpm),conversion,polymerization rate (gPE/min),productivity (mp/mcat),yield,Molecular weight (10^5)
1,10,300,0.01,0.004009,30,0.001,50,0.1,0.17,0.17,7.19E-07,3.34
2,16.666667,308.333333,0.025,0.006682,60,0.0025,91.666667,0.25,0.35,0.35,6.75E-06,3.71
3,23.333333,316.666667,0.04,0.009355,120,0.004,133.333333,0.4,0.65,0.65,2.78E-05,4.26
4,30,325,0.055,0.012028,180,0.0055,175,0.55,1.12,1.12,7.07E-05,5.79
5,36.666667,333.333333,0.07,0.014701,240,0.007,216.666667,0.7,1.67,1.67,1.41E-04,5.51
6,43.333333,341.666667,0.085,0.017374,480,0.0085,258.333333,0.85,2.38,2.38,3.24E-04,5.67
7,50,350,0.1,0.020047,600,0.01,300,1,2.39,2.39,5.23E-04,6.21
8,2,30,0.01,0.42,30,0.001,50,0.1,0.1,0.1,5.61E-07,3
9,2,40,0.018182,0.35,81.818182,0.001818,72.727273,0.181818,0.318182,0.318182,2.04E-06,3.27
10,2,50,0.026364,0.32,133.636364,0.002636,95.454545,0.263636,0.536364,0.536364,4.05E-06,3.55
11,4.8,30,0.034545,0.97,185.454545,0.003455,118.181818,0.345455,0.754545,0.754545,2.13E-05,3.82
12,4.8,40,0.042727,0.81,237.272727,0.004273,140.909091,0.427273,0.972727,0.972727,2.98E-05,4.09
13,4.8,50,0.050909,0.74,289.090909,0.005091,163.636364,0.509091,1.190909,1.190909,3.88E-05,4.36
14,11.6,30,0.059091,2.35,340.909091,0.005909,186.363636,0.590909,1.409091,1.409091,1.60E-04,4.64
15,11.6,40,0.067273,1.97,392.727273,0.006727,209.090909,0.672727,1.627273,1.627273,1.90E-04,4.91
16,11.6,50,0.075455,1.8,444.545455,0.007545,231.818182,0.754545,1.845455,1.845455,2.20E-04,5.18
17,18.4,30,0.083636,3.74,496.363636,0.008364,254.545455,0.836364,2.063636,2.063636,5.17E-04,5.45
18,18.4,40,0.091818,3.13,548.181818,0.009182,277.272727,0.918182,2.281818,2.281818,5.72E-04,5.73
19,18.4,50,0.1,2.87,600,0.01,300,1,2.5,2.5,6.24E-04,6
20,2,179.38,0.01,0.000531584855766224,4500,0.001,50,0.1,0.1,0.1,1e-06,3
21,2.7199999999999998,179.11,0.013600000000000001,0.000723387009465019,4542,0.00136,60,0.136,0.196,0.196,1e-06,3.12
22,3.44,178.93,0.0172,0.0009152360710967299,4584,0.0017200000000000002,70,0.17200000000000001,0.29200000000000004,0.29200000000000004,1e-06,3.24
23,4.16,179.05,0.0208,0.0011065033992529187,4626,0.0020800000000000003,80,0.20800000000000002,0.388,0.388,1e-06,3.36
24,4.88,177.84,0.0244,0.001301496155708397,4650,0.0024400000000000003,90,0.24400000000000002,0.484,0.484,1e-06,3.48
25,5.6,178.14,0.028000000000000004,0.0014925273446867648,4686,0.0028000000000000004,100,0.28,0.58,0.58,1e-06,3.6
26,6.32,177.78,0.0316,0.0016857684773788624,4728,0.00316,110,0.31600000000000006,0.676,0.676,1e-06,3.72
27,7.04,178.4,0.0352,0.001875239715701939,4788,0.00352,120,0.352,0.772,0.772,1e-06,3.84
28,7.76,179.13,0.0388,0.002063689324635117,4872,0.00388,130,0.388,0.868,0.868,1e-06,3.96
29,8.48,179.61,0.04240000000000001,0.0022527748075508677,4962,0.004240000000000001,140,0.42400000000000004,0.964,0.964,1e-06,4.08
30,9.2,179.66,0.046000000000000006,0.002443778264586672,5058,0.0046,150,0.4600000000000001,1.06,1.06,1e-06,4.2
31,9.92,179.77,0.049600000000000005,0.0026343905107044318,5136,0.00496,160,0.496,1.1560000000000001,1.1560000000000001,1e-06,4.32
32,10.64,179.65,0.053200000000000004,0.0028263451065128346,5238,0.00532,170,0.532,1.2520000000000002,1.2520000000000002,1e-06,4.4399
33,11.36,179.59,0.0568,0.0030180014541453626,5304,0.00568,180,0.5680000000000001,1.348,1.348,1e-06,4.56
34,12.08,179.64,0.06040000000000001,0.003208928846640897,5406,0.00604,190,0.604,1.4440000000000002,1.444,1e-06,4.68
35,12.799999999999999,179.31,0.064,0.0034026694218080977,5448,0.0064,200,0.64,1.54,1.54,1e-06,4.8
36,13.52,179.5,0.06760000000000001,0.0035925609647896877,5514,0.00676,210,0.676,1.6360000000000001,1.636,1e-06,4.92
